Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C4,10u,C_0603_1608Metric,135.918333,-70.832477,-90.0,top
D1,1N5819,D_SOD-123,138.25,-68.5,90.0,top
D2,Red,D_0603_1608Metric,135.932172,-67.616915,-90.0,top
J1,PT100 Header Pins,2 Pin Male Header,131.453,-99.819,-90.0,top
J2,Switch Header Pins,2 Pin Male Header,122.203,-99.819,-90.0,top
J3,LED Header Pins,2 Pin Male Header,112.75,-99.819,-90.0,top
J5,Barrel_Jack,DC Jack 5A,155.25,-97.5,90.0,top
J6,Conn_01x19_Female,PinSocket_1x19_P2.54mm_Vertical,164.225,-79.68,0.0,bottom
J7,Conn_01x19_Female,PinSocket_1x19_P2.54mm_Vertical,105.805,-79.68,0.0,bottom
J8,Conn_01x03_Male,TerminalBlock_Altech_AK300-3_P5.00mm,120.996887,-56.669994,0.0,top
K1,SANYOU_SRD_Form_C,Relay_SPDT_SANYOU_SRD_Series_Form_C,120.7,-73.95,90.0,top
Q3,S8050_SMD,SOT-23,138.25,-62.556067,-90.0,top
R1,3.3k,R_0603_1608Metric,140.525533,-86.906568,-90.0,top
R2,3.3k,R_0603_1608Metric,142.402569,-86.906568,-90.0,top
R3,91,R_0603_1608Metric,145.117033,-87.740767,0.0,top
R4,1.2k,R_0603_1608Metric,129.5,-89.0,-90.0,top
R5,27k,R_0603_1608Metric,146.964051,-91.125,-90.0,top
R6,1.2k,R_0603_1608Metric,109.139148,-93.214332,-90.0,top
R7,1.1k,R_0603_1608Metric,145.214051,-91.125,-90.0,top
R8,10k,R_0603_1608Metric,139.013709,-93.897122,-90.0,top
R11,1.2k,R_0603_1608Metric,133.75,-69.227165,90.0,top
R12,1.2k,R_0603_1608Metric,141.489776,-62.457594,-90.0,top
R13,13k,R_0603_1608Metric,143.405567,-100.323901,-90.0,top
R14,4.3k,R_0603_1608Metric,145.145567,-100.323901,90.0,top
U1,INA332,VSSOP-8_3.0x3.0mm_P0.65mm,142.0842,-92.512982,-90.0,top
U2,CJ431,SOT-23,140.19,-100.199182,180.0,top
